y,x1,x2,x3,x4,x5,x6
0.574380211151523,125,256,6000,256,16,128
1.01583812554928,29,8000,32000,32,8,32
0.711169987443785,29,8000,32000,32,8,32
0.412719566442486,29,8000,32000,32,8,32
0.164010882274737,29,8000,16000,32,8,16
1.32050626365477,26,8000,32000,64,8,32
1.62517440176026,23,16000,32000,64,16,32
2.3837358884719,23,16000,32000,64,16,32
3.29774030278838,23,16000,64000,64,16,32
6.45634059171879,23,32000,64000,128,32,64
-0.420454525519474,400,1000,3000,0,1,2
-0.408019091311086,400,512,3500,4,1,6
-0.0846978018930122,60,2000,8000,65,1,8
0.201317184899899,50,4000,16000,65,1,8
-0.594550604436898,350,64,64,0,1,4
-0.439107676832055,200,512,16000,0,4,32
-0.538591150499154,167,524,2000,8,4,15
-0.482631696561411,143,512,5000,0,7,32
-0.46397854524883,143,1000,2000,0,5,16
0.0893982770244122,110,5000,5000,142,8,64
-0.470196262353023,143,1500,6300,0,5,32
-0.451543111040442,143,3100,6200,0,5,20
-0.277447032123018,143,2300,6200,0,6,64
-0.184181275560112,110,3100,6200,0,6,64
-0.51372028208238,320,128,6000,0,1,12
-0.227705295289468,320,512,2000,4,1,3
-0.451543111040442,320,256,6000,0,1,6
-0.488849413665605,320,256,3000,4,1,3
-0.177963558455918,320,512,5000,4,1,5
-0.488849413665605,320,256,5000,4,1,6
1.04692671107025,25,1310,2620,131,12,24
1.63139211886446,25,1310,2620,131,12,24
-0.457760828144636,50,2620,10480,30,12,24
-0.26501159791463,50,2620,10480,30,12,24
0.0023502375657,56,5240,20970,30,12,24
0.63655738219346,64,5240,20970,30,12,24
-0.532373433394961,50,500,2000,8,1,4
-0.476413979457217,50,1000,4000,8,1,5
-0.215269861081081,50,2000,8000,8,1,5
-0.495067130769798,50,1000,4000,8,3,5
-0.432889959727861,50,1000,8000,8,3,5
-0.408019091311086,50,2000,16000,8,3,5
-0.333406486060761,50,2000,16000,8,3,6
-0.283664749227212,50,2000,16000,8,3,6
-0.209052143976887,133,1000,12000,9,3,12
-0.209052143976887,133,1000,8000,9,3,12
-0.544808867603348,810,512,512,8,1,1
-0.532373433394961,810,1000,5000,0,1,1
-0.408019091311086,320,512,8000,4,1,5
-0.271229315018824,200,512,8000,8,1,8
-0.507502564978186,700,384,8000,0,1,1
-0.507502564978186,700,256,2000,0,1,1
0.201317184899899,140,1000,16000,16,1,3
-0.432889959727861,200,1000,8000,0,1,2
-0.495067130769798,110,1000,4000,16,1,2
-0.283664749227212,110,1000,12000,16,1,2
-0.215269861081081,220,1000,8000,16,1,2
-0.58211517022851,800,256,8000,0,1,4
-0.569679736020123,800,256,8000,0,1,4
-0.532373433394961,800,256,8000,0,1,4
-0.557244301811736,800,256,8000,0,1,4
-0.519937999186573,800,256,8000,0,1,4
-0.432889959727861,125,512,1000,0,8,20
0.238623487525062,75,2000,8000,64,1,38
0.238623487525062,75,2000,16000,64,1,38
0.95366095450734,75,2000,16000,128,1,38
-0.551026584707542,90,256,1000,0,3,10
-0.495067130769798,105,256,2000,0,3,10
-0.457760828144636,105,1000,4000,0,3,24
-0.457760828144636,105,2000,4000,8,3,19
-0.271229315018824,75,2000,8000,8,3,24
-0.258793880810437,75,3000,8000,8,3,48
-0.519937999186573,175,256,2000,0,3,24
-0.432889959727861,300,768,3000,0,6,24
-0.383148222894311,300,768,3000,6,6,24
-0.345841920269149,300,768,12000,6,6,24
-0.376930505790117,300,768,4500,0,1,24
-0.327188768956568,300,384,12000,6,1,24
-0.432889959727861,300,192,768,6,6,24
-0.134439538726562,180,768,12000,6,1,31
-0.557244301811736,330,1000,3000,0,2,4
-0.420454525519474,300,1000,4000,8,3,64
-0.420454525519474,300,1000,16000,8,2,112
-0.557244301811736,330,1000,2000,0,1,2
-0.519937999186573,330,1000,4000,0,3,6
-0.476413979457217,140,2000,4000,0,3,6
-0.408019091311086,140,2000,4000,0,4,8
-0.439107676832055,140,2000,4000,8,1,20
0.176446316483124,140,2000,32000,32,1,20
-0.246358446602049,140,2000,8000,32,1,54
0.21997033621248,140,2000,32000,32,1,54
0.518420757213779,140,2000,32000,32,1,54
-0.519937999186573,140,2000,4000,8,1,20
0.164010882274737,57,4000,16000,1,6,12
0.816871178215078,57,4000,24000,64,12,16
2.23451067797125,26,16000,32000,64,16,24
2.23451067797125,26,16000,32000,64,8,24
1.06557986238283,26,8000,32000,0,8,24
0.493549888797005,26,8000,16000,0,8,16
-0.619421472853673,480,96,512,0,1,1
-0.507502564978186,203,1000,2000,0,1,5
-0.376930505790117,115,512,6000,16,1,6
-0.613203755749479,1100,512,1500,0,1,1
-0.575897453124317,1100,768,2000,0,1,1
-0.557244301811736,600,768,2000,0,1,1
-0.457760828144636,400,2000,4000,0,1,1
-0.457760828144636,400,4000,8000,0,1,1
-0.588332887332704,900,1000,1000,0,1,2
-0.588332887332704,900,512,1000,0,1,2
-0.544808867603348,900,1000,4000,4,1,2
-0.519937999186573,900,1000,4000,8,1,2
-0.426672242623667,900,2000,4000,0,3,6
-0.408019091311086,225,2000,4000,8,3,6
-0.445325393936248,225,2000,4000,8,3,6
-0.345841920269149,180,2000,8000,8,1,6
-0.184181275560112,185,2000,16000,16,1,6
-0.246358446602049,180,2000,16000,16,1,6
-0.507502564978186,225,1000,4000,2,3,6
-0.352059637373343,25,2000,12000,8,1,4
-0.246358446602049,25,2000,12000,16,3,5
-0.0349560650594624,17,4000,16000,8,6,12
0.170228599378931,17,4000,16000,32,6,12
-0.58211517022851,1500,768,1000,0,0,0
-0.544808867603348,1500,768,2000,0,0,0
-0.532373433394961,800,768,2000,0,0,0
-0.488849413665605,50,2000,4000,0,3,6
-0.376930505790117,50,2000,8000,8,3,6
-0.308535617643986,50,2000,8000,8,1,6
-0.221487578185274,50,2000,16000,24,1,6
-0.159310407143337,50,2000,16000,24,1,6
0.188881750691512,50,8000,16000,48,1,10
